Date,Image,Size,Species,Confidence,Morph,Price
202411,58313b57e03062b4e52a3a141b768c5b.jpg,baby,crestedgeko,,lily,70000.0
202411,b38b510f3da33141773dfb51c3a56bad.jpg,baby,crestedgeko,,lily,55000.0
202411,710d1ec427a1a19e0dcd7dc9aa3efd33.jpg,baby,crestedgeko,,lily,60000.0
202411,5be3a9c4864f52c0461ad01ee5bcde5c.jpg,baby,crestedgeko,,lily,60000.0
202411,1ae54081da55a494f8f68de112ac60dc.jpg,baby,crestedgeko,,lily,55000.0
202411,6a6afb1fd906c32ad435c5f1b4f42e02.jpg,baby,crestedgeko,,lily,55000.0
202411,7a79f1f9085039bb0502794b8af4f060.jpg,baby,crestedgeko,,undefined,40000.0
202411,092330656dfb43416409849690cf8f33.jpg,baby,crestedgeko,,lily,80000.0
202411,577450d8163cf2026271c9ec4a41bf8f.jpg,baby,crestedgeko,,lily,100000.0
202411,aae987f2d2dca96cc2eaf9fe0aa5661c.jpg,baby,crestedgeko,,lily,80000.0
202411,dcd3339af5fd2152e84b6ea4a778c19a.jpg,baby,crestedgeko,,lily,70000.0
202411,b6d089bdc44c2a2b95f06e09ba787d77.jpg,baby,crestedgeko,,lily,70000.0
202411,3006c03c9fc2f3a53196ce6ecb6c0ae2.jpg,baby,crestedgeko,,lily,90000.0
202411,8c02711bf4dff39f580319358d03c638.jpg,baby,crestedgeko,,lily,80000.0
202411,cbbf50fc11cf1e1de8037be46061280d.jpg,baby,crestedgeko,,lily,70000.0
202411,8ffe1dd6b1ab78155fc424503713593c.jpg,baby,crestedgeko,,lily,80000.0
202411,f2e656b2cf2ab8554a87dedbf6f93601.jpg,baby,crestedgeko,,lily,75000.0
202411,d9394859724293af05e7187d51dacae2.jpg,baby,crestedgeko,,lily,80000.0
202411,5b0a021380c27697baa152f15949eddc.jpg,babeadult,leopard,,undefined,100000.0
202411,55361416a0795dc42feab19945a1b8c0.jpg,babeadult,leopard,,undefined,100000.0
202411,b10fab3fcd2e8461e61ef7d1899cf736.jpg,babeadult,leopard,,undefined,100000.0
202410,3344957adf48b600ca96b11b2d2c21f2.jpg,adult,snake,,undefined,180000.0
202410,d61c1e77ad0c39a6a3c039906db201d3.jpg,subadult,snake,,undefined,150000.0
202410,d65400789da1f6bc04955213c13b0976.jpg,subadult,crestedgeko,,frapuccino,200000.0
202410,6aae1b056ee17e0a63623b9ff0cca625.jpg,subadult,crestedgeko,,frapuccino,250000.0
202410,17661eec2bf95b529dcf60f4a6419e40.jpg,subadult,crestedgeko,,frapuccino,220000.0
202410,7cbf96380f253dd7d560877d05c3aebc.jpg,adult,crestedgeko,,undefined,120000.0
